customer_id,age,gender,location,frequency,avg_order_value,total_spent,avg_session_time_min,pages_viewed,product_category,recency_days,churned
1,56,Female,Ashanti Region,1,63.02,63.02,14.62,8,Fashion,29,0
2,69,Male,Eastern Region,0,52.83,0.0,0.09,4,Health,281,1
3,46,Female,Volta Region,3,11.19,33.57,9.49,11,Groceries,32,0
4,32,Male,Ashanti Region,2,21.89,43.79,11.53,7,Groceries,32,0
5,60,Female,Western Region,1,30.48,30.48,5.98,8,Health,73,0
6,25,Female,Greater Accra,4,38.19,152.76,16.31,6,Electronics,51,0
7,38,Male,Greater Accra,2,65.16,130.32,5.35,7,Groceries,88,0
8,56,Male,Ashanti Region,1,57.27,57.27,1.65,2,Electronics,22,0
9,36,Male,Eastern Region,2,41.28,82.57,1.46,6,Fashion,58,0
10,40,Male,Savana Region,3,33.48,100.45,4.87,3,Fashion,130,0
11,28,Female,Volta Region,1,5.0,5.0,14.22,6,Electronics,4,0
12,28,Female,Ashanti Region,0,72.3,0.0,0.45,6,Electronics,396,1
13,41,Male,Greater Accra,1,28.82,28.82,5.56,3,Books,21,0
14,53,Male,Savana Region,0,78.87,0.0,8.81,9,Groceries,554,1
15,57,Male,Eastern Region,1,44.9,44.9,0.74,3,Furniture,43,0
16,41,Female,Greater Accra,2,90.63,181.26,0.75,6,Groceries,255,0
17,20,Male,Ashanti Region,1,55.16,55.16,2.74,5,Health,10,0
18,39,Female,Northern Region,4,5.0,20.0,1.92,2,Electronics,40,0
19,19,Female,Northern Region,1,24.64,24.64,1.33,6,Groceries,12,0
20,41,Female,Ashanti Region,2,35.77,71.54,1.33,6,Books,31,0
21,61,Male,Greater Accra,0,18.16,0.0,0.84,4,Furniture,691,1
22,47,Female,Volta Region,0,30.57,0.0,5.66,8,Groceries,409,1
23,55,Male,Eastern Region,5,5.83,29.13,6.99,2,Health,98,0
24,19,Male,Ashanti Region,0,40.14,0.0,7.28,6,Groceries,349,1
25,38,Female,Greater Accra,0,45.94,0.0,4.56,7,Books,204,1
26,50,Female,Northern Region,1,14.9,14.9,18.33,4,Fashion,525,1
